ID Oddziału;Nazwa Oddziału;Typ Oddziału;Szpital (Nazwa);Miasto;ID Szpitala;Liczba Lekarzy na Oddziale;Data Utworzenia
dept_31_2;Oddział Urologii;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO;Białystok;hosp_31;2;2026-05-10T06:43:35.542Z
dept_31_3;Blok operacyjny;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO;Białystok;hosp_31;1;2026-05-10T06:43:35.542Z
dept_31_4;Sterylizatornia;Zabiegowy;SAMODZIELNY PUBLICZNY ZAKŁAD OPIEKI ZDROWOTNEJ MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI W BIAŁYMSTOKU IM. MARIANA ZYNDRAMA-KOŚCIAŁKOWSKIEGO;Białystok;hosp_31;1;2026-05-10T06:43:35.542Z
dept_32_1;Oddział Chirurgii Ogólnej, Małoinwazyjnej i Onkologicznej;Zabiegowy;SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO;Białystok;hosp_32;0;2026-05-09T06:43:35.542Z
dept_32_2;Oddział Urologii Onkologicznej i Ogólnej;Zabiegowy;SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO;Białystok;hosp_32;3;2026-05-09T06:43:35.542Z
dept_32_3;Blok operacyjny;Zabiegowy;SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO;Białystok;hosp_32;0;2026-05-09T06:43:35.542Z
dept_32_4;Sterylizatornia;Zabiegowy;SP ZOZ WOJEWÓDZKI SZPITAL ZESPOLONY IM. J. ŚNIADECKIEGO;Białystok;hosp_32;0;2026-05-09T06:43:35.542Z
dept_33_1;Klinika Chirurgii i Urologii Dziecięcej z Pododdziałem Okulistyki Dziecięcej;Zabiegowy;UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU;Białystok;hosp_33;0;2026-05-08T06:43:35.542Z
dept_33_2;Blok operacyjny;Zabiegowy;UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU;Białystok;hosp_33;0;2026-05-08T06:43:35.542Z
dept_33_3;Sterylizatornia;Zabiegowy;UNIWERSYTECKI DZIECIĘCY SZPITAL KLINICZNY IM. L. ZAMENHOFA W BIAŁYMSTOKU;Białystok;hosp_33;0;2026-05-08T06:43:35.542Z
